"id","chart_template_id:id","code","parent_id:id","name","user_type_id:id","reconcile"
"ao_666190","l10n_ao.l10n_ao_chart_template",666190,"l10n_ao.ao_6661","Outros investimentos","account.data_account_type_revenue",0
"ao_666200","l10n_ao.l10n_ao_chart_template",666200,"l10n_ao.ao_6661","Títulos negociáveis","account.data_account_type_revenue",0
"ao_667","l10n_ao.l10n_ao_chart_template",667,"l10n_ao.ao_66","Reposição de provisões","account_parent_v10.data_account_type_view",0
"ao_6671","l10n_ao.l10n_ao_chart_template",6671,"l10n_ao.ao_667","Investimentos financeiros","account_parent_v10.data_account_type_view",0
"ao_667110","l10n_ao.l10n_ao_chart_template",667110,"l10n_ao.ao_6671","Subsidiárias","account.data_account_type_revenue",0
"ao_667120","l10n_ao.l10n_ao_chart_template",667120,"l10n_ao.ao_6671","Associadas","account.data_account_type_revenue",0
"ao_667130","l10n_ao.l10n_ao_chart_template",667130,"l10n_ao.ao_6671","Outras empresas","account.data_account_type_revenue",0
"ao_667140","l10n_ao.l10n_ao_chart_template",667140,"l10n_ao.ao_6671","Fundos","account.data_account_type_revenue",0
"ao_667190","l10n_ao.l10n_ao_chart_template",667190,"l10n_ao.ao_6671","Outros investimentos","account.data_account_type_revenue",0
"ao_6672","l10n_ao.l10n_ao_chart_template",6672,"l10n_ao.ao_667","Aplicações de tesouraria","account_parent_v10.data_account_type_view",0
"ao_667210","l10n_ao.l10n_ao_chart_template",667210,"l10n_ao.ao_6672","Títulos negociáveis","account.data_account_type_revenue",0
